Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,Buzzer_12x9.5RM7.6,1,Buzzer,
"C1, C3, C5",0805,3,10uF,
"C10, C11, C12, C13, C18, C23, C8",0603,7,100nF,
C14,0603,1,104,
"C15, C16",0805,2,100nF,
"C17, C2, C22, C6, C9",0805,5,1uF,
C19,0805,1,2.2uF Low ESR,
"C20, C21",0402,2,16pF,
C4,C_Radial_D5.0mm_H5.0mm_P2.00mm,1,47uF,
C7,1812,1,10nF 250V,
"D1, D2, D3, D9",0603,4,RED,
"D10, D5, D6",D_SOD-123,3,1N5819HW-7-F,
D4,TO-263-2,1,T2035T-8G-RT,
"D7, D8",D_SOD-123,2,BZT52C4V7-13-F,
F1,Fuseholder_Clip-5x20mm_Littelfuse_100_Inline_P20.50x4.60mm_D1.30mm_Horizontal,1,1A,
F2,Fuseholder_Clip-6.3x32mm_Littelfuse_122_Inline_P34.21x7.62mm_D2.54mm_Horizontal,1,20A,
FB1,0805,1,WLBD2012HCU601TH,
"J1, J5",SPTA-THR 2.53-5.0 P26,2,1366005,
J10,CONN_4DB-P108-02_TEC,1,4DB-P108-02,
"J11, J13, J7",JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,3,Conn_01x04,
J12,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,1,Conn_01x05,
J14,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06,
J15,PinHeader_1x08_P2.54mm_Vertical,1,Conn_01x08,
"J16, J4",JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,2,Conn_01x03,
"J2, J3","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",2,Conn_01x02,
J6,JST_XH_B7B-XH-A_1x07_P2.50mm_Vertical,1,Conn_01x07,
"J8, J9",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,2,Conn_01x02,
"JP1, JP2, JP3",PinHeader_1x02_P2.54mm_Vertical,3,Jumper_2_Open,
JP5,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,1,Jumper_2_Open,
PS1,Converter_ACDC_MeanWell_IRM-10-xx_THT,1,IRM-10-5,
"Q1, Q2, Q3, Q4, Q5",SOT-23,5,IRLML6244TRPBF,
"R1, R10, R13, R14, R25, R30, R32",0603,7,10k,
"R11, R12, R15, R24, R28, R31",0603,6,1k,
"R16, R20",Potentiometer_Bourns_TC33X_Vertical,2,TC33X-2-103E,
"R17, R21",0603,2,15k,
"R18, R22",0603,2,560,
"R19, R23",Potentiometer_Bourns_TC33X_Vertical,2,TC33X-2-102E,
"R2, R27, R29, R9",0603,4,220,
R26,0603,1,100k,
"R3, R4, R5",0603,3,330,
"R6, R7",2512,2,330,
R8,2512,1,39,
RV1,TMOV20RP150E,1,TMOV20RP150E,
SW1,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,SW_SPST,
SW2,PinHeader_1x03_P2.54mm_Vertical,1,SW_SPDT,
"TP1, TP2, TP3, TP4",PinHeader_1x01_P2.54mm_Vertical,4,TestPoint,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP1727T-3302E/SN,
U2,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,1,DS18B20+,
U3,SMDIP-6_W9.53mm,1,MOC3083S-TA1,
U4,LQFP-64_10x10mm_P0.5mm,1,STM32F401RETx,
"U5, U6",SOIC-8_3.9x4.9mm_P1.27mm,2,OPA333AIDCKT,
U7,TO-92_Inline,1,DS18B20+,
Y2,Crystal_HC49-4H_Vertical,1,ATS08A-E,
