Designator,Mid X,Mid Y,Rotation,Layer
BZ1,135.95,-68.0,0.0,top
C1,30.0,-77.0,270.0,top
C10,109.0,-65.825,45.0,top
C11,120.75,-80.325,180.0,top
C12,123.25,-67.75,270.0,top
C13,111.5,-80.5,180.0,top
C14,211.3875,-22.0,0.0,top
C15,207.25,-29.25,90.0,top
C16,204.75,-44.2125,90.0,top
C17,191.8951,-10.019999,270.0,top
C18,181.250001,-36.750001,90.0,top
C19,116.75,-81.25,0.0,top
C2,34.0,-81.0,180.0,top
C20,107.75,-71.2575,270.0,top
C21,107.75,-68.825,90.0,top
C22,22.0375,-79.0,180.0,top
C23,22.0,-82.0,180.0,top
C3,41.0,-73.0,0.0,top
C4,22.0,-74.0,180.0,top
C5,216.465,-67.075,0.0,top
C6,94.25,-72.25,0.0,top
C7,95.0,-19.0,180.0,top
C8,107.0,-74.187501,90.0,top
C9,125.5,-67.75,270.0,top
D1,43.0,-82.0,180.0,top
D10,47.1,-60.25,0.0,top
D2,14.0,-82.0,0.0,top
D3,67.975,-70.75,90.0,top
D4,103.4,-30.71,0.0,top
D5,80.5,-80.0,0.0,top
D6,163.75,-73.75,180.0,top
D7,202.75,-21.25,180.0,top
D8,197.5,-21.25,0.0,top
D9,95.75,-76.0,0.0,top
F1,39.0,-8.0,180.0,top
F2,160.0,-23.999999,90.0,top
FB1,216.65,-62.5,0.0,top
J1,65.0,-20.0,180.0,top
J10,208.5,-5.186,0.0,top
J11,176.0,-51.0,90.0,top
J13,131.25,-79.975,0.0,top
J14,52.25,-76.1,0.0,top
J16,48.842642,-54.593142,180.0,top
J2,7.5,-55.96,270.0,top
J3,7.5,-71.96,270.0,top
J5,143.0,-20.0,180.0,top
J6,176.0,-13.75,90.0,top
J7,176.0,-34.25,90.0,top
J8,83.75,-74.475,0.0,top
J9,163.75,-81.025,180.0,top
JP1,36.27,-68.0,90.0,top
JP2,22.27,-68.0,90.0,top
JP3,206.995,-38.0,90.0,top
PS1,23.125,-41.0925,270.0,top
Q1,71.687501,-75.5,0.0,top
Q2,85.0,-80.937501,270.0,top
Q3,156.9375,-82.45,180.0,top
Q4,147.5,-68.25,0.0,top
Q5,52.756853,-61.664212,270.0,top
R1,41.0,-77.0875,270.0,top
R10,75.0,-75.5,90.0,top
R11,89.0,-80.0,180.0,top
R12,151.75,-82.5,90.0,top
R13,89.0,-82.0,0.0,top
R14,153.75,-82.5,270.0,top
R15,207.5,-22.0,0.0,top
R16,196.75,-33.5,180.0,top
R17,199.75,-29.25,270.0,top
R18,203.75,-29.25,270.0,top
R19,203.75,-33.5,180.0,top
R2,47.0,-82.0,0.0,top
R20,197.1225,-58.62,0.0,top
R21,206.8625,-58.04,0.0,top
R22,206.8625,-60.55,0.0,top
R23,197.1225,-63.37,0.0,top
R25,181.250001,-33.0,270.0,top
R26,142.46,-82.0,180.0,top
R27,91.75,-76.0,180.0,top
R28,144.062499,-68.25,90.0,top
R29,152.312499,-68.25,270.0,top
R3,10.0,-82.0,180.0,top
R30,150.562499,-68.25,90.0,top
R31,50.342642,-65.593142,90.0,top
R32,53.342642,-65.593142,0.0,top
R4,67.975,-74.5,270.0,top
R5,63.75,-65.0,90.0,top
R6,73.0,-45.0,0.0,top
R7,74.0,-34.0,270.0,top
R8,108.0,-19.0,0.0,top
R9,73.75,-78.5,180.0,top
RV1,49.0,-27.0,270.0,top
SW1,18.005001,-8.8275,180.0,top
SW2,143.46,-79.0,270.0,top
TP1,217.75,-22.0,0.0,top
TP2,217.75,-28.25,0.0,top
TP3,217.75,-41.5,0.0,top
TP4,202.3925,-62.81,0.0,top
U1,35.0,-77.0,270.0,top
U2,94.25,-68.75,180.0,top
U3,70.0,-59.25,90.0,top
U4,115.25,-72.25,270.0,top
U5,211.25,-29.25,180.0,top
U6,208.75,-44.25,180.0,top
U7,195.8951,-10.02,90.0,top
Y2,103.0,-70.324999,270.0,top
