Designator,Mid X,Mid Y,Rotation,Layer
C1,75.0,24.0,90.0,top
C2,30.0,87.5,180.0,top
D1,81.625,23.0,180.0,top
D2,52.65,74.04,0.0,top
D3,78.953771,35.798839,270.0,top
F1,14.5,52.5,180.0,top
F2,62.5,87.5,0.0,top
J1,18.25,71.0,270.0,top
J2,74.0,71.0,90.0,top
J3,89.05,31.0,270.0,top
J7,75.46,9.5,0.0,top
JP3,67.73,23.0,90.0,top
PS1,39.5925,14.125,0.0,top
R1,85.5,23.0,0.0,top
R2,42.5,62.0,0.0,top
R3,39.0,74.0,270.0,top
R4,38.5,87.5,0.0,top
R5,75.541271,34.798839,180.0,top
R7,82.5,37.0,0.0,top
RV1,30.5,71.0,90.0,top
SW1,7.3275,39.505,270.0,top
U2,51.5,38.0,180.0,top
