Designator,Mid X,Mid Y,Rotation,Layer
C1,75.0,20.5,90.0,top
C2,30.0,84.0,180.0,top
D1,81.625,19.5,180.0,top
D2,52.65,70.54,0.0,top
D3,78.0,31.125,90.0,top
F1,14.5,49.0,180.0,top
F2,63.5,84.0,0.0,top
J1,18.25,67.5,270.0,top
J2,74.0,67.5,90.0,top
J3,89.05,27.5,270.0,top
J7,75.46,6.0,0.0,top
JP3,67.73,19.5,90.0,top
PS1,39.5925,10.625,0.0,top
R1,85.5,19.5,0.0,top
R2,42.5,58.5,0.0,top
R3,39.0,70.5,270.0,top
R4,38.5,84.0,0.0,top
R5,75.0,32.0,180.0,top
R7,78.0,27.0,270.0,top
RV1,30.5,67.5,90.0,top
SW1,7.3275,36.005,270.0,top
U2,51.5,34.5,180.0,top
