Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,104,
"D1, D2",D_SOD-123,2,BZT52C4V7-13-F,
J1,"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",1,Conn_01x02,
J2,CONN_4DB-P108-02_TEC,1,4DB-P108-02,
J5,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04,
R1,0603,1,1k,
"R2, R6",Potentiometer_Bourns_TC33X_Vertical,2,TC33X-2-103E,
"R3, R7",0603,2,15k,
"R4, R8",0603,2,560,
"R5, R9",Potentiometer_Bourns_TC33X_Vertical,2,TC33X-2-102E,
"TP1, TP2",TestPoint_THTPad_D2.0mm_Drill1.0mm,2,TestPoint,
"U1, U2",SOT-23-5,2,LM321,
U3,TO-92_Inline,1,DS18B20+,
